NumVert,NumEdges,DFS,Rand,Rand_Radix,Rand_Bucket,Rand_Sort
0,0,1e+06,0,2.9e+07,1e+06,3e+06
200,100,3.9e+07,1.9e+07,8.7e+07,4e+07,4.1e+07
400,200,7.7e+07,3.5e+07,1.34e+08,7.1e+07,7.3e+07
600,300,1.11e+08,5.6e+07,1.97e+08,1.13e+08,1.17e+08
800,400,1.46e+08,7.2e+07,2.45e+08,1.44e+08,1.48e+08
1000,500,1.81e+08,8.8e+07,2.93e+08,1.77e+08,1.81e+08
1200,600,2.35e+08,1.07e+08,3.49e+08,2.14e+08,2.2e+08
1400,700,2.53e+08,1.24e+08,3.93e+08,2.47e+08,2.53e+08
1600,800,3.04e+08,1.66e+08,4.87e+08,3.02e+08,3.09e+08
1800,900,3.59e+08,1.55e+08,4.89e+08,3.13e+08,3.21e+08
0,0,0,0,2.6e+07,1e+06,1e+06
200,200,4.8e+07,3e+07,1.24e+08,6.2e+07,7.3e+07
400,400,9.1e+07,6.2e+07,2.23e+08,1.22e+08,1.5e+08
600,600,1.41e+08,9.3e+07,3.32e+08,1.85e+08,2.31e+08
800,800,1.84e+08,1.24e+08,4.28e+08,2.52e+08,3.19e+08
1000,1000,2.29e+08,1.52e+08,5.09e+08,3.01e+08,3.84e+08
1200,1200,2.62e+08,1.7e+08,5.76e+08,3.4e+08,4.27e+08
1400,1400,3.49e+08,2.18e+08,7.22e+08,4.35e+08,5.54e+08
1600,1600,3.61e+08,2.3e+08,7.66e+08,4.61e+08,5.81e+08
1800,1800,4.13e+08,2.65e+08,8.84e+08,5.35e+08,6.77e+08
0,0,0,0,2.7e+07,1e+06,1e+06
200,1600,1.48e+08,2.54e+08,8.16e+08,5.06e+08,7.24e+08
400,3200,3.23e+08,5.38e+08,1.745e+09,1.078e+09,1.542e+09
600,4800,4.98e+08,8.12e+08,2.583e+09,1.626e+09,2.344e+09
800,6400,7.02e+08,1.168e+09,3.697e+09,2.349e+09,3.264e+09
1000,8000,8.87e+08,1.371e+09,4.296e+09,2.745e+09,3.904e+09
1200,9600,1.295e+09,1.793e+09,5.395e+09,3.546e+09,5.064e+09
1400,11200,1.531e+09,2.15e+09,6.471e+09,4.354e+09,6.057e+09
1600,12800,1.656e+09,2.395e+09,7.265e+09,4.824e+09,6.856e+09
1800,14400,1.778e+09,2.508e+09,7.696e+09,4.993e+09,7.23e+09
0,0,1e+06,1e+06,3e+07,3e+06,3e+06
200,10000,9.08e+08,1.682e+09,5.259e+09,3.339e+09,4.845e+09
400,40000,4.071e+09,6.814e+09,2.1763e+10,1.3538e+10,2.035e+10
600,90000,9.369e+09,1.8287e+10,5.2726e+10,3.5273e+10,5.2042e+10
800,160000,1.7185e+10,3.173e+10,9.3788e+10,6.1937e+10,9.2913e+10
1000,250000,2.8138e+10,4.9163e+10,1.49065e+11,9.8088e+10,1.47551e+11
1200,360000,4.0119e+10,7.1458e+10,2.14171e+11,1.42447e+11,2.17491e+11
1400,490000,5.5523e+10,9.6873e+10,2.9426e+11,1.96457e+11,2.98454e+11
1600,640000,7.3471e+10,1.33061e+11,3.95997e+11,2.67012e+11,4.04186e+11
1800,810000,9.1044e+10,1.62889e+11,4.88209e+11,3.268e+11,5.0326e+11
